submission_TITLE,submission_ABSTRACT,KEYWORDS_SELECTION
Prioritizing Clinically Significant Lung Cancer Somatic Mutations for Targeted Therapy Through Efficient NGS Data Filtering System,"Effective precision oncology relies on the accurate identification and prioritization of clinically significant somatic mutations in lung cancer patients. In this study, we present an innovative NGS data filtering system that seamlessly integrates multiple data sources, including genetic variants, genes, clinical evidence, and literature knowledge. Through rigorous filtration, we efficiently narrow down a vast dataset to prioritize 420 genes and 1,193 variants of high clinical significance. Furthermore, we meticulously review and select 80 variants with compelling clinical relevance. Our approach aligns with FDA-approved drugs, NCCN guidelines, and curated literature, aiding oncologists in suggesting targeted therapeutic strategies. Validated using real-world lung adenocarcinoma NGS data, our system demonstrates its potential to expedite precision oncology and enhance treatment outcomes. As part of future developments, we aim to expand our system to include additional data types and provide a user-friendly interface for seamless data access and information sharing.","['Clinical genomics/omics and interventions based on omics data', 'Informatics research/biomedical informatics research methods', 'Genomics/Omic data interpretation']"
Comparative Analysis of Fusion Strategies for Imaging and Non-imaging Data - Use-case of Hospital Discharge Prediction,"Accurate prediction of future clinical events such as discharge from hospital can not only improve hospital resource management but also provide an indicator of a patient's clinical condition. Within the scope of this work, we perform a comparative analysis of deep learning based fusion strategies against traditional single source models for prediction of discharge from hospital by fusing information encoded in two diverse but relevant data modalities, i.e., chest X-ray images and tabular electronic health records (EHR). We evaluate multiple fusion strategies including late, early and joint fusion in terms of their efficacy for target prediction compared to EHR-only and Image-only predictive models. Results indicated the importance of merging information from two modalities for prediction as fusion models tended to outperform single modality models and also indicate that the joint fusion scheme was the most effective for target prediction. Joint fusion model merges the two modalities through a branched neural network that is jointly trained in an end-to-end fashion to extract target-relevant information from both modalities.","['Health Information and biomedical data dissemination strategies', 'Clinical decision support for translational/data science interventions', 'Machine learning and predictive modeling']"
Development of an Electronic Clinical Quality Measure (eCQM) to Report Timely Follow-up on Abnormal Stool-based Tests for Colorectal Cancer Screening: An Environmental Scan,"This environmental scan aims to inform the development of an electronic clinical quality measure (eCQM) that calculates the rates of timely diagnostic follow-up after abnormal stool-based CRC screening tests within the Mass General Brigham (MGB) health system. It synthesizes the current literature on the impact of follow-up delays on patient outcomes and guideline information on screening and diagnostic processes. While patients who experienced a follow-up diagnostic delay of more than six months had greater odds of developing early and advanced stages of colorectal cancer, follow-up rates across health systems in the U.S. were low on average, with timely follow-up ranging from 43.3 in 90 days to 56.1% in 360 days.","['Measuring outcomes', 'Informatics research/biomedical informatics research methods', 'Clinical and research data collection, curation, preservation, or sharing']"
Assessing the Barriers and Facilitators to Pulmonary Rehabilitation Referrals Using the Consolidated Framework for Implementation Research (CFIR),"Chronic obstructive pulmonary disease (COPD) is a global health issue causing significant illness and death. Pulmonary Rehabilitation (PR) offers non-pharmacological treatment, including education, exercise, and psychological support which was shown to improve clinical outcomes. In both stable COPD and after an acute exacerbation, PR has been demonstrated to increase exercise capacity, decrease dyspnea, and enhance quality of life. Despite these benefits, referrals for PR for COPD treatment remain low. This study aims to evaluate the perceptions of healthcare providers for referring a COPD patient to PR. Semi-structured qualitative interviews were conducted with pulmonary specialists, hospitalists, and emergency department physicians. Domains and constructs from the Consolidated Framework for Implementation Research (CFIR) were applied to the qualitative data to organize, analyze, and identify the barriers and facilitators to referring COPD patients. The findings from this study will help guide strategies to improve the referral process for PR.","['Patient centered research and care', 'Implementation Science', 'Clinical and research data collection, curation, preservation, or sharing']"
Pragmatic De-Identification of Cross-Domain Unstructured Documents: A Utility-Preserving Approach with Relation Extraction Filtering,"The volume of information, and in particular personal information, generated each day is increasing at a staggering rate. The ability to leverage such information depends greatly on being able to satisfy the many compliance and privacy regulations that are appearing all over the world. We present READI, a utility preserving framework for the unstructured document de-identification. READI leverages Named Entity Recognition and Relation Extraction technology to improve the quality of the entity detection, thus improving the overall quality of the data de-identification process. We evaluate the proposed approach on two different datasets and compare with the existing state-of-the-art approaches. We show that Relation Extraction-based Approach for De-Identification (READI) notably reduces the number of false positives and improves the utility of the de-identified text.","['Data security and privacy', 'Natural Language Processing', 'Machine learning and predictive modeling']"
Travel Distance as a Potential Impediment to Clinical Trial Participation: a GIS Analysis of New England NCI-Designated Centers,"Clinical trials provide patients with cancer access to experimental treatments and are a crucial to improving the standard of care in oncology. Long travel times to NCI-designated clinics potentially exclude patients from clinical trials, creating health inequities and limiting trial-participant diversity. We evaluated disparities in clinical trial accessibility in New England by determining what proportion of the population can reach an NCI-designated clinic in various driving time thresholds ranging from 15 to 120 minutes.","['Learning healthcare system', 'Patient centered research and care', 'Geographical information systems (GIS)']"
Aiming for Relevance,"Vital signs are crucial in intensive care units (ICUs). They are used to track the patient's state and to identify clinically significant changes. Predicting vital sign trajectories is valuable for early detection of adverse events. However, conventional machine learning metrics like RMSE often fail to capture the true clinical relevance of such predictions. We introduce novel vital sign prediction performance metrics that align with clinical contexts, focusing on deviations from clinical norms, overall trends, and trend deviations. These metrics are derived from empirical utility curves obtained in a previous study through interviews with ICU clinicians. We validate the metrics' usefulness using simulated and real clinical datasets (MIMIC and eICU). Furthermore, we employ these metrics as loss functions for neural networks, resulting in models that excel in predicting clinically significant events. This research paves the way for clinically relevant machine learning model evaluation and optimization, promising to improve ICU patient care.","['Measuring outcomes', 'Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling']"
Large Language Models for Efficient Medical Information Extraction,"Extracting valuable insights from unstructured clinical narrative reports is a challenging yet crucial task in the healthcare domain as it allows healthcare workers to treat patients more efficiently and improves the overall standard of care. We employ ChatGPT, a Large language model (LLM), and compare its performance to manual reviewers. The review focuses on four key conditions: family history of heart disease, depression, heavy smoking, and cancer. The evaluation of a diverse sample of History and Physical (H&P) Notes, demonstrates ChatGPT's remarkable capabilities. Notably, it exhibits exemplary results in sensitivity for depression and heavy smokers and specificity for cancer. We identify areas for improvement as well, particularly in capturing nuanced semantic information related to family history of heart disease and cancer. With further investigation, ChatGPT holds substantial potential for advancements in medical information extraction.","['Clinical decision support for translational/data science interventions', 'Secondary use of EHR data', 'Natural Language Processing']"
Identifying Referral Candidates for Community Health Worker Interventions by Using Electronic Health Records and Machine Learning,"The increasing recognition of Social Determinants of Health necessitates effective tools for the healthcare system to address patients' unmet social needs. Utilizing machine learning on electronic health records, this study aimed to optimize the recommendation process for Community Health Worker referrals. Our best model achieved an f-score of 0.81 and AUROC of 0.86. The promising results supported feasibility of machine-assisted referral, along with an automated mechanism to detect informative predictors and data sources.","['Social determinants of health', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
Development of a Common Longitudinal Intensive Format (CLIF) to Streamline Multi-center Clinical Research in Critically Ill Patients,"Traditional multi-centre research on critically ill patients is challenging because of data use agreements, and site-specific idiosyncrasies such as inconsistent syntax and data vocabularies. The Common Longitudinal Intensive data Format (CLIF) aims to overcome these challenges by (1) capturing key elements of a critically ill patient's hospital course, (2) embracing human readable table structure, (3) defining minimum data requirements and standard vocabularies, and (4) developing an extensive code repository with standardized analysis scripts.","['Data transformation/ETL', 'Data standards', 'Clinical and research data collection, curation, preservation, or sharing']"
Effects of Added Emphasis and Pause in Audio Delivery of Health Information,"Health literacy is crucial and a major national goal. Audio delivery of information is becoming more popular. In this study, we evaluate the effect of audio enhancements in the form of information emphasis and pauses among health texts of varying difficulty on health information comprehension and retention. We produced audio snippets from difficult and easy text and conducted the study on Amazon Mechanical Turk (AMT). Our findings suggest that emphasis matters for both information comprehension and retention. When there is no added pause, emphasizing significant information can lower the perceived difficulty for difficult and easy texts. Comprehension is also higher (54%) with rightly placed emphasis for the difficult texts compared to not adding emphasis (50%). Adding a pause lowers perceived difficulty and can improve retention but adversely affects information comprehension.","['Health Information and biomedical data dissemination strategies', 'Natural Language Processing', 'Health literacy issues and solutions']"
Connecting With Peers: Examining Sentiment Change of Informal Caregivers for People With Alzheimer's Disease or Related Dementias in Two Online Communities,"Alzheimer's disease or related dementias (ADRD) challenge caregivers globally, with online communities offering important support. Our study investigates sentiment changes in two ADRD forums, ALZConnected and TalkingPoint. We find significant sentiment improvement of the topic starters' posts at the thread level, varying emotional shifts tied to different topics, and improved sentiment for long-term users over time. Our research highlights the positive impact of online peer support on informal ADRD caregivers' emotional well-being.","['Natural Language Processing', 'Informatics research/biomedical informatics research methods', 'Ethical, legal, and social issues']"
A Roadmap for Improving Telemedicine Support Operations,"Since COVID-19 Penn Medicine has conducted over 2.3 million telehealth visits. A key to telemedicine's success is the interdisciplinary team that supports it. One of the most critical responsibilities of the support team is to answer end user questions (i.e. providers, administrators) excluding patients. Topics range from getting initial access to telemedicine platforms to software/hardware issues and beyond. The process for addressing these questions is laborious and complex. The PennChart Advanced Clinical Education (PACE) team primarily exists to educate clinicians on how to use PennChart (Penn Medicine's EHR); however, they have developed a key role in triaging telemedicine specific tickets. Through this responsibility, they spend an average of 24 hours per week on ticket triaging alone or 15% of their time. To optimize the delivery of telemedicine and the efficiency of its support, we designed and implemented a ticket management pilot to better manage this system. The results are discussed below.","['Reproducible research methods and tools', 'Natural Language Processing', 'Implementation Science']"
Automated Extraction of Key Fibroid Characteristics from Free-text Pelvic Ultrasound Reports using Rule-based Natural Language Processing,"This study aims to develop a rule-based Natural Language Processing algorithm for extracting essential fibroid information from free-text non-obstetric pelvic ultrasound, and to explore the distribution of the largest fibroid dimension identified by the developed algorithm across race and age groups as a proof of concept of the algorithm's utility. The validated NLP algorithm obtained fibroid measures efficiently that could be applied to examine the associations between fibroid characteristics and clinical care and treatment patterns.","['Natural Language Processing', 'Medical Imaging', 'Outcomes research, clinical epidemiology, population health']"
Generative adversarial networks for generating integrated multi-omics data: An application with Alzheimer's Disease,"Alzheimer's Disease (AD) is a neurodegenerative condition characterized by progressive cognitive decline leading to dementia. Early detection and accurate prediction of AD-related pathology are crucial for developing effective interventions and treatment strategies. Applying machine learning, including deep learning to classify AD outcomes is a promising approach. Developing robust algorithms that can process complex data, integrating multiple biological data, and provide accurate predictions is an ongoing research area. We introduce a generative adversarial network tailored for generating integrated multi-omics data for Alzheimer's disease outcome classification. Our method harmonizes three datasets and their interaction networks. Using the proposed method, we seamlessly merge these omics profiles and their associated networks to generate synthetic datasets with mRNA expression, miRNA expression, and DNA methylation. The model yields significant results, achieving more stable prediction accuracies with synthetic and original datasets compared to using only original datasets.","['Biomedical informatics and data science workforce education', 'Data Integration', 'Genomics/Omic data interpretation']"
Hardware-Software Co-Design Enables High-Resolution Machine Learning for Gigapixel Pathology Image Evaluation,"The standard pathology image processing method divides gigapixel images into small patches, which neglects the tissue context in heterogeneous samples. To address this issue, we propose a Co-design for High-resolution Integrated Pathology System (CHIPS) using novel deep-learning accelerators. We demonstrated the importance of broad spatial tissue contexts in molecular subtyping and survival prediction tasks. Our hardware-software co-design approach identified the optimal configurations for each task with improved performance in automated pathology evaluation and prediction.","['Medical Imaging', 'Digital research enterprise', 'Machine learning and predictive modeling']"
Cluster Analysis of Cortical Amyloid Burden for Identifying Imaging-driven Subtypes in Mild Cognitive Impairment,"Over the past decade, Alzheimer's disease (AD) has become increasingly severe and gained greater attention. Mild Cognitive Impairment (MCI) serves as an important prodromal stage of AD, highlighting the urgency of early diagnosis for timely treatment and control of the condition. Identifying the subtypes of MCI patients exhibits importance for dissecting the heterogeneity of this complex disorder and facilitating more effective target discovery and therapeutic development. Conventional method uses clinical measurements such as cognitive score and neurophysical assessment to stratify MCI patients into two groups with early MCI (EMCI) and late MCI (LMCI), which shows their progressive stages. However, such clinical method is not designed to de-convolute the heterogeneity of the disorder. This study uses a data-driven approach to divide MCI patients into a novel grouping of two subtypes based on an amyloid dataset of 68 cortical features from positron emission tomography (PET), where each subtype has a homogeneous cortical amyloid burden pattern. Experimental evaluation including visual two-dimensional cluster distribution, Kaplan-Meier plot, genetic association studies, and biomarker distribution analysis demonstrates that the identified subtypes performs better across all metrics than the conventional EMCI and LMCI grouping.","['Medical Imaging', 'Data-driven research and discovery', 'Genotype-phenotype association studies (including GWAS)']"
Link Between Viral Variants and Long COVID Characteristics: An Insight from Unsupervised Learning Analysis,"Long COVID represents a multi-system illness involving myalgic encephalomyelitis/chronic fatigue syndrome, dysautonomia, effects on various organ systems, and irregularities in vascular and clotting functions. The outcome of the ongoing global pandemic triggered by the SARS-CoV-2 virus (COVID-19), which has resulted in substantial levels of both fatalities and sickness worldwide, remains uncertain due to the diversity within the long COVID syndrome. This study addresses the uncertainty surrounding the relationship between the biological diversity of SARS-CoV-2 lineages and the clinical variations seen in long COVID. It utilizes statistical tests and unsupervised machine learning techniques to investigate the connection between viral variants from the initial COVID episode and long COVID characteristics. Our comprehensive analysis sheds light on the genetic diversity and potential functional implications of these variants, offering insights into the distinctive features of long COVID.","['Advanced data visualization tools and techniques', 'Genomics/Omic data interpretation']"
Clarifying Chronic Obstructive Pulmonary Disease Genetic Associations Observed in Biobanks via Mediation Analysis of Smoking,"Varying case definitions of COPD have heterogenous genetic risk profiles, potentially reflective of disease subtypes identified under different diagnostic criteria or of bias in how people are categorized into the various groups (e.g., smokers more likely to be categorized as having COPD than non-smokers). We sought to better understand differences in genetic loci associated with ICD-defined COPD versus spirometry-defined COPD by contrasting GWAS results for these traits with GWAS results for heavy smoking among 337,138 UK Biobank participants. Overlapping risk regions were found in/near the genes ZEB2, FAM136B, CHRNA3, and CHRNA4, with a CHRNA3 locus shared across all three traits. Causal mediation analysis to estimate the proportion of the effect of the lead genotyped SNP in these overlapping risk regions on COPD that was mediated by smoking behavior found that there were significant indirect effects for the FAM136B, CHRNA3, and CHRNA4 loci to influence COPD according to both of its definitions. After adjustment for confounders of smoking and COPD, we observed modest attenuation of indirect effects, except for in the CHRNA4 region for the spirometry-defined COPD where the proportion mediated increased an additional 8.47%. Our analysis suggests that the major differences between ICD-defined and spirometry-defined COPD associated genetic loci are not due to the influence of smoking behavior on their definitions.","['Genotype-phenotype association studies (including GWAS)', 'EHR-based phenotyping', 'Genomics/Omic data interpretation']"
Association of Diagnostic Discrepancy with Length of Stay and Mortality in Congestive Heart Failure Patients Admitted to the Emergency Department,"The goal of this study was to analyze diagnostic discrepancies between emergency department (ED) and hospital discharge diagnoses in patients with congestive heart failure admitted to the ED. Using a synthetic dataset from the Department of Veterans Affairs, the patients' primary diagnoses were compared at two levels: diagnostic category and body system. With 12,621 patients and 24,235 admission cases, the study found a 58% mismatch rate at the category level, which was reduced to 30% at the body system level. Diagnostic categories associated with higher levels of mismatch included aplastic anemia, pneumonia, and bacterial infections. In contrast, diagnostic categories associated with lower levels of mismatch included alcohol-related disorders, COVID-19, cardiac dysrhythmias, and gastrointestinal hemorrhage. Further investigation revealed that diagnostic mismatches are associated with longer hospital stays and higher mortality rates. These findings highlight the importance of reducing diagnostic uncertainty, particularly in specific diagnostic categories and body systems, to improve patient care following ED admission.","['Secondary use of EHR data', 'Data-driven research and discovery', 'Outcomes research, clinical epidemiology, population health']"
"Exploring Large Language Models for Acronym, Symbol Sense Disambiguation, and Semantic Similarity and Relatedness Assessment","Acronyms, abbreviations, and symbols are widely used in clinical notes. Acronym and symbol sense disambiguation are an important type of NLP task which ensures the clarity and consistency of clinical notes and downstream NLP processing. Prior study using traditional machine learning methods are relatively successful in solving this problem. In this study, we evaluated large language models (LLM) (i.e., ChatGPT 3.5 and Bert-based models) on three NLP tasks: acronym and symbol sense disambiguation, semantic similarity and relatedness. Our findings highlight the superior performance of Bert-based models over previous machine learning approaches. These models can attain an impressive over 95% accuracy rate, demonstrating their effectiveness in addressing the challenge of acronym and symbol sense disambiguation. Additionally, ChatGPT showcased its ability to distinguish between senses, even with minimal or zero-shot training. Moreover, it exhibited a strong correlation, surpassing 70%, with human gold standards in evaluating similarity and relatedness.","['Natural Language Processing', 'Data mining and knowledge discovery', 'Clinical decision support for translational/data science interventions']"
An Automated Approach for Identifying Erroneous IS-A Relations in SNOMED CT,"SNOMED CT is the most comprehensive clinical terminology utilized on a global scale. It is crucial to perform quality assurance tasks on SNOMED CT to enhance its accuracy. In this work, we introduce an automated approach to identifying erroneous IS-A relations in SNOMED CT. We first extract linked concept pairs from which we generate Term Difference Pairs (TDPs). Given a TDP, if the reversed TDP also exists and the number of linked pairs generating this TDP is less than that generating the reversed TDP, then we suggest linked pairs generating the given TDP as potentially erroneous IS-A relations. We applied this approach to the Clinical finding and Procedure subhierarchies of the 2022 March US Edition of SNOMED CT, and obtained 52 potentially erroneous IS-A relations and a candidate list of 48 linked pairs. A domain expert confirmed that 41 out of 52 (78.8%) are valid and identified 26 erroneous IS-A relations out of 48 linked pairs.","['Ontologies', 'Knowledge representation, management, or engineering', 'Data/system integration, standardization and interoperability']"
Compulsory Indications in Hospital Prescribing Software Tested with Antibacterial Prescriptions,"The aim was to assess how making the indication field compulsory in our electronic prescribing system influenced free text documentation and to visualise prescriber behaviour. The indication field was made compulsory for seven antibacterial medicines. Text recorded in the indication field was manually classified as 'indication present', 'other text', 'rubbish text', or 'blank'. The proportion of prescriptions with an indication was compared for four weeks before and after the intervention. Indication provision increased from 10.6% to 72.4% (p0.01), and 'rubbish text' from 0.0% to 0.6% (p<0.01). Introducing the compulsory indication field increased indication documentation substantially with only a small increase in 'rubbish text'. An interactive report was developed using a live data extract to illustrate indication provision for all medicines prescribed at our tertiary hospital. The interactive report was validated and locally published to support audit and quality improvement projects.","['Clinical decision support for translational/data science interventions', 'Secondary use of EHR data', 'Advanced data visualization tools and techniques']"
Detecting Cerebral Ischemia from Electroencephalography During Carotid Endarterectomy Using Machine Learning,"Intraoperative stroke is a major concern during high-risk surgical procedures such as carotid endarterectomy (CEA). Ischemia, a stroke precursor, can be detected using continuous electroencephalographic (cEEG) monitoring of electrical changes caused by changes in cerebral blood flow. However, monitoring by experts is currently resource-intensive and prone to error. We investigated if supervised machine learning (ML) could detect ischemia accurately using intraoperative cEEG. Using cEEG recordings from 802 patients, we trained six ML models, including naïve Bayes, logistic regression, support vector classifier, random forest (RF), light gradient-boosting machine (LGBM), and eXtreme Gradient Boosting with random forest (XGBoost RF), and tested them on a validation dataset of 30 patients. Each cEEG recording in the validation dataset was labeled independently by five expert neurophysiologists who regularly perform intraoperative neuromonitoring. We did not derive consensus labels but rather evaluated an ML model in a pairwise fashion using one expert as a reference at a time, due to the experts' variability in label determination, which is typical for clinical tasks. The tree-based ML models, including RF, LGBM, and XGBoost RF, performed best, with AUROC values ranging from 0.92 to 0.93 and AUPRC values ranging from 0.79 to 0.83. Our findings suggest that ML models can serve as the foundation for a real-time intraoperative monitoring system that can assist the neurophysiologist in monitoring patients.","['Clinical decision support for translational/data science interventions', 'Patient centered research and care', 'Machine learning and predictive modeling']"
Enhancing Health Data Interoperability with Large Language Models: A FHIR Study,"In this study, we investigated the ability of the large language model (LLM) to enhance healthcare data interoperability. We leveraged the LLM to convert clinical texts into their corresponding FHIR resources. Our experiments, conducted on 3,671 snippets of clinical text, demonstrated that the LLM not only streamlines the multi-step natural language processing and human calibration processes but also achieves an exceptional accuracy rate of over 90% in exact matches when compared to human annotations.","['FHIR', 'Data sharing / interoperability', 'Natural Language Processing']"
Automating Clinical Trial Matches Via Natural Language Processing of Synthetic Electronic Health Records and Clinical Trial Eligibility Criteria,"Clinical trials are critical to many medical advances; however, recruiting patients remains a persistent obstacle. Automated clinical trial matching could expedite recruitment across all trial phases. We detail our initial efforts towards automating the matching process by linking realistic synthetic electronic health records to clinical trial eligibility criteria using natural language processing methods. We also demonstrate how the Sørensen-Dice Index can be adapted to quantify match quality between a patient and a clinical trial.","['Natural Language Processing', 'Clinical trials innovations', 'Recruitment technologies']"
Evaluating the Association of Neighborhood Socioeconomic Disadvantage and Risk of Cognitive Decline Using Longitudinal Electronic Health Records,"We investigated the association between living in a disadvantaged area and cognitive decline using a large EHR dataset. Cox proportional hazards models were used to explore the relationship between the area deprivation index and incident MCI/dementia. We found that patients in the top state quintile had a higher incidence rate of MCI/dementia than those in the bottom four quintiles, with a hazard ratio of 1.19 (95% CI 1.06, 1.29) (p<0.01).","['Natural Language Processing', 'Social determinants of health', 'Measuring outcomes']"
Electronic Phenotyping of Urinary Tract Infections as a Silver Standard Label for Machine Learning,"This study explored the efficacy of electronic phenotyping in data labeling for machine learning with a focus on urinary tract infections (UTIs). We contrasted labels from electronic phenotyping against previously published labels such as urine culture positivity. In comparison, electronic phenotyping showed enhanced specificity in UTI labeling while maintaining similar sensitivity and was easily scaled for application to a large dataset suitable for machine learning, which we used to train and validate a machine learning model. Electronic phenotyping offers a valuable method for machine learning label generation in healthcare, with potential benefits for patient care and antimicrobial stewardship. Further research will expand its application and optimize techniques for increased performance.","['EHR-based phenotyping', 'Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling']"
Selection and Implementation of Virtual Scribe Solutions to Reduce Documentation Burden: A Mixed Methods Pilot,"Electronic health record (EHR) documentation is a leading reason for clinician burnout. While technology-enabled solutions like virtual and digital scribes aim to improve this, there is limited evidence of their effectiveness and minimal guidance for healthcare systems around solution selection and implementation. A transdisciplinary approach, informed by clinician interviews and other considerations, was used to evaluate and select a virtual scribe solution to pilot in a rapid iterative sprint over 12 weeks. Surveys, interviews, and EHR metadata were analyzed over a staggered 30 day implementation with live and asynchronous virtual scribe solutions. Among 16 pilot clinicians, documentation burden metrics decreased for some but not all. Some clinicians had highly positive comments, and others had concerns regarding scribe training and quality. Our findings demonstrate that virtual scribes may reduce documentation burden for some clinicians and describe a method for a collaborative and iterative technology selection process for digital tools in practice.","['Reproducible research methods and tools', 'Implementation Science', 'Stakeholder (i.e., patients or community) engagement']"
Latent classes of polysubstance use disorders among US youth and suicide risks: A nationwide EHR Study,"Objective: This study aimed to investigate clinically diagnosed polysubstance use disorders (PUDs) phenotypes and their associated risks for suicidal ideation and suicide attempts among US youth.Methods: This retrospective cohort study uses electronic health record data from HealthJump, including individuals aged 10-25 diagnosed with substance use disorder (SUD) between January 1, 2015, and September 30, 2022. Participants were youth diagnosed with more than one type of SUD within one year of their first SUD diagnosis. Outcomes were suicidal ideation and suicide attempts diagnosed within one and two years after the first SUD diagnosis.Results: Among 89,522 individuals diagnosed with SUD, 13,399 (15.0%) had PUDs. Latent class analysis identified three PUD phenotypes: opioid and unspecified/other PUD phenotype (4,256 [31.8%]); alcohol and cannabis PUD phenotype (4,770 [35.6%]); and cannabis and unspecified/other PUD phenotype (4,373 [32.6%]). Compared to the opioid and unspecified/other PUD phenotype, individuals had a greater likelihood of suicidal ideation in the alcohol and cannabis PUD phenotype (odds ratio [OR] 1.9, 95% CI [1.4-2.5]) and cannabis and unspecified/other PUD phenotype (one-year: 2.1 [1.6-2.8]; two-year: 2.3 [1.8-3.0]). Individuals in the cannabis and unspecified/other PUD phenotype (1.5 [1.1-2.1]) were more likely to have suicide attempts within two years. Conclusions: This study highlights novel US youth PUD phenotypes and reveals that those with cannabis and unspecified/other PUD phenotypes are more likely to experience subsequent suicidal ideation and suicide attempts compared to the opioid and unspecified/other PUD phenotype. Targeted screening and assessment of these phenotypes may contribute to preventing youth suicide.","['EHR-based phenotyping', 'Phenomics and phenome-wide association studies', 'Machine learning and predictive modeling']"
GATEHR: representation learning on electronic health records using pedigree-based graph attention networks,"Recent years have seen a surge of research into methods for modeling disease risk, onset, and progression from electronic health records data. Although it has been well known that family health history is a major predictor for a wide spectrum of diseases, research so far has adopted a limited view of family relations at best, essentially treating individual patients as independent samples. In this work, we address this limitation by building upon recent progress in predicting family relations from electronic health records. We present GATEHR, which models predicted family relations as edges in a graph attention network, and directly integrates this with a medical ontology representation. Taking disease risk prediction as a use case, we demonstrate that GATEHR outperforms state-of-the-art methods across the medical ontology. Additionally, we illustrate the high degree of interpretability of GATEHR by analyzing how its attention mechanism allows us to link a patient's disease risk to the clinical profiles of his/her relatives. We demonstrated that our proposed GATEHR model holds significant potential in electronic health records modeling and patient representation learning. Particularly noteworthy is our model's impact in analyzing Nonalcoholic Fatty Liver Disease (NAFLD) and Nonalcoholic Steatohepatitis (NASH), common liver conditions that are often underdiagnosed. GATEHR has shown promise in identifying NASH patients within the broader NAFLD population, a crucial step in ensuring these patients receive appropriate care. Overall, we believe our results show that GATEHR can be a valuable tool in electronic health records modeling and patient representation learning.","['Secondary use of EHR data', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
VisualSphere: a Web-based Interactive Visualization System for Clinical Research Data,"Clinical research data visualization is integral to making sense of biomedical research and healthcare data. The complexity and diversity of data, along with the need for solid programming skills, can hinder advances in clinical research data visualization. To overcome these challenges, we introduce VisualSphere, a web-based interactive visualization system that directly interfaces with clinical research data repositories, streamlining and simplifying the visualization workflow. VisualSphere is founded on three primary component modules: Connection, Configuration, and Visualization. An end-user can set up connections to the data repositories, create charts by selecting the desired tables and variables, and render visualization dashboards generated by Plotly and R/Shiny. We performed a preliminary evaluation of VisualSphere, which achieved high user satisfaction. VisualSphere has the potential to serve as a versatile tool for various clinical research data repositories, enabling researchers to explore and interact with clinical research data efficiently and effectively.","['Data-driven research and discovery', 'Informatics research/biomedical informatics research methods', 'Advanced data visualization tools and techniques']"
Utilizing Large Language Models to Increase the Performance of Classification Neural Networks,"An important problem impacting healthcare is the lack of available experts. Machine learning (ML) models may help resolve this by aiding in screening and diagnosing patients. However, creating large, representative datasets to train models can be difficult and costly. We evaluated large language models (LLMs) for data creation and augmentation. Using Autism Spectrum Disorders (ASD) as a test, we prompted GPT 3.5 and GPT 4 to generate 4,200 synthetic examples of child behaviors to augment the actual medical observations in the dataset. We used a BERT classifier pretrained on biomedical literature to assess the difference in performance between the datasets. A random sample (N=140) from the LLM-generated data was evaluated by a clinician and found to contain 83% completely correct prompts corresponding to the given label. Augmenting the dataset increased recall by 13.0% but decreased precision by 16.0%. Future work will investigate how different synthetic data characteristics affect ML outcomes.","['Natural Language Processing', 'Informatics research/biomedical informatics research methods', 'Data quality']"
Gender Confounding Effects in Dementia Detection with BERT,"Deep learning models have shown promising results in many biomedical tasks. The Cookie Theft picture description task is a standard test for dementia assessments, and Natural Language Processing (NLP) models can take their transcripts to predict dementia cases. However, gender distribution in the training data may confound the target prediction and lead to impaired performance at the time of deployment. In this work, we explore whether such confounding effects exist and evaluate one mitigation approach.","['Informatics research/biomedical informatics research methods', 'Natural Language Processing', 'Machine learning and predictive modeling']"
Evaluation of the Federal Communications Commission Rural Health Care Program's Impacts on Broadband Infrastructures and Telehealth Utilization in Rural Health Clinics,"In this study, we aim to evaluate the Federal Communications Commission fund program for improving healthcare connectivity of rural health clinics using the Center for Medicare and Medicaid Services Limited Data Set claims data. To assess the effectiveness, we investigate the effects of the fund program on the improvement of broadband speeds and the utilization of telehealth using an event study framework.","['Social determinants of health', 'Public health informatics', 'Mobile Health, wearable devices and patient-generated health data']"
Assessing Clinical Acuity in the Emergency Department Using the GPT-3.5 Artificial Intelligence Model,"This paper evaluates the performance of the Chat Generative Pre-trained Transformer (ChatGPT; GPT-3.5) in accurately identifying higher acuity patients in a real-world clinical context. Using a dataset of 10,000 pairs of patient Emergency Department (ED) visits with varying acuity levels, we demonstrate that GPT-3.5 can successfully determine the patient with higher acuity based on clinical history sections extracted from ED physician notes. The model achieves an accuracy of 84% and an F1 score of 0.83, with improved performance for more disparate acuity scores. Among the 500 pair subsample that was also manually classified by a resident physician, GPT-3.5 achieved similar performance (Accuracy = 0.84; F1 score = 0.85) compared to the physician (Accuracy = 0.86, F1 score = 0.87). Our results suggest that, in real-world settings, GPT-3.5 can perform comparably to physicians on the clinical reasoning task of ED acuity determination.","['Natural Language Processing', 'Clinical decision support for translational/data science interventions', 'Public health informatics']"
