row_id,submission_TITLE,HIGHLIGHTED THEME (OPTIONAL),submission_ABSTRACT,KEYWORDS_SELECTION
89,Predicting Organ Rejections for Pediatric Heart Transplantations with a Combined Use of Transplant Registry Data and Electronic Health Records,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Donor organs are a limited resource with significant waitlist time and waitlist mortalities. Even though overall 5-year survival rate for pediatric heart transplant recipient continues to improve, ongoing concerns on the rates of late acute rejection (LAR) and hospitalization within this population remain. Prior research has provided initial evidence that machine learning algorithms can be used to predict posttransplant outcomes in pediatric organ transplantation, but these prediction models offer unsatisfactory predictive accuracy, possibly due to the use of only organ registry data but not fine-grained clinical data. In this study, we linked a transplant center patients’ electronic health records (EHRs) with the United Network for Organ Sharing (UNOS) registry data, allowing for the use of ML to identify at-risk patients with high accuracy and risk factors for poor posttransplant outcomes.","['Data mining and knowledge discovery', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
90,Enhancing Suicide Risk Detection in EHRs: Leveraging Large Language Models to Identify Explicit and Implicit Suicidal Indications,,"This study utilizes Large Language Models (LLMs) to improve the identification of both explicit and implicit suicidal mentions within Electronic Health Records (EHRs). Using the MIMIC database, 4,360 clinical notes were annotated, from which 2,134 were identified as relevant for suicidal behaviors. Deep Learning models, especially Clinical BERT, outperformed traditional methods, achieving up to 87% precision and 85% recall. The research highlights LLMs' potential in enhancing suicide risk detection.","['Natural Language Processing', 'Public health informatics', 'Machine learning and predictive modeling']"
91,Evaluating Temporal Characterization of EHR in BERT-based Model Architectures to Predict Multi-morbidity in Diabetes Patients,Harnessing the Power of Large Language Models in Health Data Science,"The Transformers architecture, notably BERT, revolutionized contextual learning and has been applied effectively to Electronic Health Records (EHR) due to similarities with natural language sequences. BERT efficiently constructs comprehensive EHR representations, capturing intricate medical history details. This study focuses on predicting major complications in diabetes patients, comparing prediction performance across diverse BERT architectures with various temporal representations. It also assesses the value of incorporating temporal data compared to context-time-unaware models like XG-Boost classifiers for risk prediction.","['Data-driven research and discovery', 'Data mining and knowledge discovery', 'Machine learning and predictive modeling']"
92,A Human-Centric Approach for Self-Service Analytics of Longitudinal Health Data,,"Efficient analytical access to longitudinal data for clinician scientists is crucial for translational medicine. However, typical analysis tasks require cross-sectional tabular data representations, so transformations need to be applied to longitudinal facts. However, established self-service data warehouse platforms offer limited aggregation functionalities for longitudinal data and specialized query languages are rather complex with a steep learning curve. We introduce a human-centric approach to longitudinal data transformation for self-service analytics, based on a domain-specific language, paired with a graphical editor and analytical tools. Our versatile framework integrates seamlessly with common data warehouse platforms. At Charité, the approach is used to provide oncologists with analytical access to clinical cancer registry data based on Informatics for Integrating Biology and the Bedside (i2b2).","['Data-driven research and discovery', 'Secondary use of EHR data', 'Advanced data visualization tools and techniques']"
93,Incorporating Natural Language Processing (NLP) into the EMERSE Information Retrieval System,Implementation Science and Deployment in Informatics: From Theory to Practice,"EMERSE, a search engine for clinical documents, has been enhanced to include an 'aligned-layer retrieval model' that allows for powerful search capabilities including negation and uncertainty status, semantic type labeling, case-sensitivity, and more. This was achieved by layering attributes over the indexed terms. Despite the index size increasing by 26%, it has not noticeably affected search time. These additions make the tool more efficient and comprehensive for non-technical clinical researchers.","['Informatics research/biomedical informatics research methods', 'Natural Language Processing', 'Data Integration']"
94,Beyond off-the-shelf Machine Learning: case for clinician-in-the-loop,Implementation Science and Deployment in Informatics: From Theory to Practice,Unlocking the potential of machine learning in healthcare demands a tailored approach that cannot be replaced by the recent advancements of “one-size-fit-all” large deep learning models and off-the-shelf solutions. In this paper we emphasize the need for more nuanced clinician-in-the-loop methodologies where clinical input should be considered in the development of every predictive model from the design stage using appropriate algorithms that allow this input beyond the mere formulation of the clinical question.,"['Learning healthcare system', 'Collaborative workflow systems', 'Machine learning and predictive modeling']"
95,Variability of Correlation Structures of Synthetic Data in Machine Learning Algorithms,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Synthetic data is computationally-derived data that is designed by algorithms to similarly represent real world data. It is often employed in the use of big data for machine learning algorithms, which are an increasingly common occurrence in the field of medicine. Synthetic data promises to provide more accessible, less expensive, and safer alternative that preserves the biological and medical meaning of the data to the use of real world data in healthcare. It has broad use in many new and advancing technologies that target predictive analytics and discovery analytics, among others. This research aims to determine how well machine learning (ML) models are able to maintain the integrity of variable correlation relationships between both synthetic and real data. It also aims to ascertain the presence or absence of biases within the artifact subspace structure of synthetic data when comparing queries by evaluating the efficacy of ML models trained on multiple MDClone-generated synthetic queries using Epic clinical breast cancer data to predict mortality. The findings indicate that tree-based models are most effective at maintaining feature relationships between real world and synthetically generated data. Additionally, a notable reduction in model performance when the model is trained on combined synthetic data, possibly due to the disturbance in the artifact subspace structure.","['Data sharing / interoperability', 'Health Information and biomedical data dissemination strategies', 'Machine learning and predictive modeling']"
96,Harnessing consumer wearable digital biomarkers for individualized recognition of postpartum depression within the All of Us Research Program,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Postpartum depression (PPD) affects one in seven women, with detection challenges due to limited in-person visits and subjective screening methods. In women with PPD, intra-individual machine learning (ML) models using wearable-derived digital biomarkers were developed to distinguish between different phases of pregnancy (pre-pregnancy, pregnancy, postpartum without depression, and postpartum with depression (PPD)). Furthermore, individualized models outperform conventional ML approaches, highlighting personalized ML for early disease detection.","['Patient centered research and care', 'Mobile Health, wearable devices and patient-generated health data', 'Machine learning and predictive modeling']"
97,EchoGPT: Extracting Echocardiogram Entities using Large Language Models,Harnessing the Power of Large Language Models in Health Data Science,"Large Language Models (LLMs) can potentially standardize unstructured electronic health data with increased superiority to traditional natural language models. To assess their entity extraction capabilities, we compared the performance of zero-shot and few-shot learning of GPT-4 to extract and classify data from echocardiogram reports against gold standard clinician annotations. We found that a relaxed matching approach combined with either learning modality provided the best performance while ensuring data is transformed into a more standardized structure.","['Natural Language Processing', 'Secondary use of EHR data', 'Data/system integration, standardization and interoperability']"
98,Quantifying Pre-Hospital Delays Using Natural Language Processing,Harnessing the Power of Large Language Models in Health Data Science,"Longer prehospital delays can worsen outcomes, but wide-scale research is limited by lack of data. This study uses free-text clinical notes to extract information about the time elapsed between symptom onset and hospital arrival. I evaluate two approaches for end-to-end relation extraction of symptom-timing pairs: supervised machine learning with rule-based extraction and few-shot learning using large language models. Preliminary results suggest these methods hold promise for shedding light on delays in patient access to care.","['Natural Language Processing', 'Secondary use of EHR data']"
99,Network Graph Solutions for Data Pipeline Diagnostics,,"A key challenge for studies using electronic health records is the development of a data pipeline that maps the raw EHR data to an analytic dataset. Here we propose the use of directed bipartite graph models to visualize, interrogate, and refine the data engineering process. By promoting both transparency and data integrity, this diagnostic approach may help to improve the reproducibility and quality of studies that rely on EHR data.","['Reproducible research methods and tools', 'Advanced data visualization tools and techniques', 'Knowledge representation, management, or engineering']"
100,Pediatric Site Response to the Rapid Implementation of Decentralized Clinical Trials,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","The COVID-19 pandemic led to rapid implementation of telehealth services to conduct clinical research. Increased use of decentralized clinical trials (DCTs) has resulted in gaps in evidence-based outcomes and lack of standardization across research entities, making research sites hesitant to adopt DCT practices from sponsors and CROs. This research aims to identify and compare perceived barriers and facilitators for pediatric research sites conducting DCTs to other research sites for clinical research professionals.","['Clinical trials innovations', 'Patient centered research and care', 'Data/system integration, standardization and interoperability']"
101,Developing and Simulating a Clinical Machine Learning Model to Predict Acute Kidney Injury (AKI) in NICU Patients,,"Acute Kidney Injury (AKI) is an abrupt reduction in kidney function that is associated with higher mortality in the Neonatal Intensive Care Unit (NICU) and can lead to chronic kidney disease in infancy and early childhood. A timely diagnostic and management response to infants in the NICU who are at risk of AKI is critical. Our goal is to develop and implement an actionable machine learning model that continuously monitors patients and alerts providers if a patient is at high risk of developing AKI within the next 7 days.We collected a retrospective dataset of all patients in our own NICU spanning from 2017-2021, resulting in 5,395 patient encounters. We identified 486 episodes of AKI affecting 7% of patients. As machine learning features, we curated a set of 41 clinically interpretable variables based on prior literature and expert opinion. We chose a LASSO regularized logistic regression model to achieve full model explainability and reduce our features to a small set of clinically actionable risk factors. We trained and validated the model using 10-fold cross validation.Our final model consists of 12 risk factors and achieves a cross-validated ROC AUC of 0.74. Simulating the model in real-time, this corresponds to correctly predicting 60% of AKI episodes up to 7 days in advance when alerting on an average of 15% of NICU patients per day. We are currently working with our Epic informatics team to implement the model as part of our EHR.","['Clinical decision support for translational/data science interventions', 'Machine learning and predictive modeling', 'Implementation Science']"
102,Derivation and validation of a rule-based small cell masking tool for privacy protection in aggregated tabular reports,,"In biomedical research, protecting patient privacy is crucial for data sharing, whether patient-level or aggregated. Low patient counts in aggregated reports increases disclosure risk and compromises privacy. Therefore, masking low-patient counts is required. For complex reports with several thousand cells, manual masking is time-consuming, and human error-prone, warranting an automated solution. We have developed and validated an automated cell-masking tool in R which applies to one- two- and three-way frequency tables with high accuracy.","['Data security and privacy', 'Sustainable research data infrastructure', 'Clinical and research data collection, curation, preservation, or sharing']"
103,MyChart Messaging: Patient Expectations for Providers,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"MyChart messaging allows for convenient patient-provider communication. Portal messaging has grown recently, leading to increased physician workload. A patient-facing survey was administered to better understand patient expectations for provider message responses. Results show that patients prefer prompt responses from providers and providers are meeting these expectations, despite the large message volume they face. Patients also prefer unrestricted hours of messaging. Solutions to reduce burden must be created that do not limit patients' access to messaging.","['Health literacy issues and solutions', 'Clinical and research data collection, curation, preservation, or sharing', 'Stakeholder (i.e., patients or community) engagement']"
104,Using Large Language Models to Assess Scientific Portfolio of Research Projects in the All of Us Research Program,Harnessing the Power of Large Language Models in Health Data Science,"The All of Us Research Program is building the largest, most diverse research biorepositories. The program created Scientific Priorities Roadmap to characterize scientific inquiries researchers are investigating. We used large language model (LLM) to classify All of Us projects focusing on genetics, health equity, maternal/child health, healthy aging, and lifestyle/substance/behavioral. We compared LLM to 116 annotated projects. Health equity had highest F1 (0.67). Our analysis showed the possibility of using LLM to classify scientific projects.","['Natural Language Processing', 'Data mining and knowledge discovery', 'Implementation Science']"
105,Evolution of Phenotype Algorithms: A Case Study with Type 2 Diabetes,,"Phenotype algorithms are disseminated to the scientific community for adaptation and reuse, but little is known about how a phenotype algorithm is adopted and adapted for a new setting. Using type 2 diabetes mellitus as a case study, we reviewed a single phenotype algorithm’s 183 citations in PubMed, identifying 67 studies that implemented the algorithm in some form, with 21 of those making modifications. Common adaptations included adding ICD-10 codes and removing or relaxing criteria.","['EHR-based phenotyping', 'Secondary use of EHR data', 'Knowledge representation, management, or engineering']"
106,Enhancing COACH for Effective Hypertension Management: Executing Implementation and Deployment Strategies,Implementation Science and Deployment in Informatics: From Theory to Practice,"This study addresses the significant public health challenge of hypertension, which elevates the risk of cardiovascular disease. We introduce COACH, a web-based tool for hypertension care planning and patient self-management, and seek feedback on user interface design, alerts, notifications, and emergency instructions. Focus groups and clinic visits informed programming recommendations, prioritized using the MoSCoW method. Key COACH features, informed by the focus groups, include dual BP alerts and clear patient instructions.","['Patient centered research and care', 'Public health informatics', 'Implementation Science']"
107,Visualizing Computable Phenotypes,,"The Centralized Interactive Phenomics Resource (CIPHER) hosts novel visualization tools and thousands of phenotype definitions: https://phenomics.va.ornl.gov/web/. The tools are directly linked to the phenotypes within the knowledgebase. With a single click, users can explore phenotype details by navigating to the phenotype definition from the visualization. Users can also immediately navigate to the tool from the phenotype details. These visualizations promote interoperability and enhance the user experience by providing resources to examine, develop, and refine phenotypes.","['EHR-based phenotyping', 'Advanced data visualization tools and techniques', 'Data/system integration, standardization and interoperability']"
108,An efficient Python PheWAS tool for analysis on large-scale biobank data,,"With the rapid growth of genetic and healthcare data as well as computing infrastructure, association studies, such as the phenome-wide association study (PheWAS), have become powerful discovery tools in biomedical research. PheWAS is an analysis method to study gene-phenotype associations utilizing genetic and longitudinal electronic medical record data.[1] Previous packages have been developed for PheWAS analysis, however, the Python PheWAS package described here was written to fulfill the need for a tool that is easy to use while capable of handling biobank scale data efficiently.[2 3] References1. Denny JC, Ritchie MD, Basford MA, et al. PheWAS: demonstrating the feasibility of a phenome-wide scan to discover gene-disease associations. Bioinformatics 2010;26(9):1205-10 doi: 10.1093/bioinformatics/btq126[published Online First: Epub Date]|.2. Carroll RJ, Bastarache L, Denny JC. R PheWAS: data analysis and plotting tools for phenome-wide association studies in the R environment. Bioinformatics 2014;30(16):2375-6 doi: 10.1093/bioinformatics/btu197[published Online First: Epub Date]|.3. Kerley CI, Chaganti S, Nguyen TQ, et al. pyPheWAS: A Phenome-Disease Association Tool for Electronic Medical Record Analysis. Neuroinformatics 2022;20(2):483-505 doi: 10.1007/s12021-021-09553-4[published Online First: Epub Date]|.","['Data-driven research and discovery', 'Phenomics and phenome-wide association studies', 'Reproducible research methods and tools']"
109,Machine Learning Approaches to Investigate Association Between Overall Survival and Comorbidity and Concurrent Medications Use in Senior Prostate Cancer Patients,,"In the US, most cancers occur in senior patients having on average 3 comorbidities and taking 6 medications. The amount of confounding data needed to account for both disease-cancer and drug-cancer interactions overwhelms typical randomized clinical trials. This study leverages large-scale retrospective medical records at Moffitt for machine learning modeling of overall survival and feature analysis.","['Data-driven research and discovery', 'Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling']"
110,Is Your Mapping of Medications to a Standard Terminology Correct?,Implementation Science and Deployment in Informatics: From Theory to Practice,"Achieving semantic harmonization of medication data is critical for data interoperability. However, once a mapping from a local to a standard terminology is generated, a pressing question arises: How can we reliably assess the accuracy of this mapping? To address this challenge, we analyzed the behavior of selected attributes of medication concepts being mapped, augmenting the customary lexical comparisons.","['Data sharing / interoperability', 'Data quality', 'Secondary use of EHR data']"
111,Predicting Hospital Readmission for Patients with OSA and Other Comorbidities Using Natural Language Processing,,"Obstructive Sleep Apnea (OSA) is a prevalent sleep disorder associated with serious health conditions. Our project utilized the Blue Bert language model to identify informative tetragrams specific to OSA subphenotypes. Additionally, we trained a Logarithmic regression model for predicting hospital readmission and diagnostic codes among OSA and Atrial Fibrillation patients using unstructured discharge notes. Our results showed 0.82 AUC for OSA phenotype diagnosis, but future work is needed to improve hospital readmission performance.","['EHR-based phenotyping', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
112,Predictors of 30-Day Hospital Readmission After Atrial Fibrillation Admission: A 2017 Nationwide Readmission Analysis in the United States,,"Atrial fibrillation (AF), the most common cardiac arrhythmia, leads to 15% of AF patients experiencing readmissions within 30 days in the US. This study aimed to uncover all-cause 30-day readmission rate, readmission predictors, and performance of the predictive models using the 2017 Nationwide Readmission Database. A hierarchical mixed linear model was used on the best performing model to identify the predictors of readmission based on index admission. Among 281,035 AF adult patients surviving their initial hospitalization, 43,375 (15.4%) faced readmission within 30 days. Readmitted patients were predominantly older (median age 75 vs. 72) and more frequently female (55.6% vs. 52.2%), compared to those not readmitted. Comorbidities at the AF index event, like metastatic cancer, lymphoma, and severe renal failure predicted higher 30-day readmission rates. This underscores comorbidities' pivotal role in readmission risk, warranting further research for streamlined models to capture AF-related readmission factors within healthcare systems.","['Public health informatics', 'Outcomes research, clinical epidemiology, population health', 'Machine learning and predictive modeling']"
113,Use of Large Language Models to Automate the Risk-Stratified Screening Colonoscopy Interval Determination,Harnessing the Power of Large Language Models in Health Data Science,"We describe the use of LLMs to provide an automated screening colonoscopy interval when evaluated on synthetic data. 100 examples were randomly selected for the synthetic testing set. 3 prompts were created to test the ability to determine the correct screening colonoscopy interval. GPT 3.5 had a superior average performance (55%) compared to PALM (51%) and Dolly (3.5%). Subsequently, the performance of GPT 4 improved to 98%. Further evaluation using actual clinical data is required.","['Clinical decision support for translational/data science interventions', 'Natural Language Processing', 'Clinical and research data collection, curation, preservation, or sharing']"
114,Trans-Balance: Reducing Demographic Disparity for Prediction Models in the Presence of Class Imbalance,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"Risk prediction, including early disease detection, prevention, and intervention, is essential to precision medicine. However, inappropriate use of risk prediction models can worsen health inequities, in that the systematic bias in risk estimation caused by the heterogeneity across different demographic groups can lead to inappropriate or misinformed treatment decisions. In addition, low incidence (class-imbalance) outcomes negatively impact the classification performance of many standard learning algorithms which further exacerbates the racial disparity issues. Therefore, it is crucial to improve the performance of statistical and machine learning models in underrepresented populations in the presence of heavy class imbalance. In this study, we leverage recent advances in imbalance learning, transfer learning, and federated learning to develop a new framework for bias-corrected models that borrow information across different cohorts without sharing individual patient data. We show that the proposed Trans-Balance framework improves upon existing approaches by explicitly accounting for heterogeneity across demographic subgroups and cohorts. We demonstrate the feasibility and validity of our methods through numerical experiments and a real application to a multi-cohort study with data from participants of four large, NIH-funded cohorts for stroke risk prediction.","['Informatics research/biomedical informatics research methods', 'Data Integration', 'Machine learning and predictive modeling']"
115,Optimal Duration for Steroid Therapy in Inflammatory Bowel Disease: A Causal Analysis using the UK Biobank,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,The submission is a poster.,"['Data-driven research and discovery', 'Machine learning and predictive modeling', 'Outcomes research, clinical epidemiology, population health']"
116,Fostering communication between parents and clinicians using behavioral visualizations of children with autism,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Autism Spectrum Disorder (ASD) is diagnosed in children with developmental and behavioral difficulties. The Centers for Disease Control and Prevention (CDC) states that 1 in 44 children in the United States have autism. Early diagnosis of autism can help parents and clinicians better plan interventions to help the child. Parents of the child need to understand the social behaviors of their child to help with the appropriate interventions. Communication between parents and clinicians is still an area of research that needs to be further studied. Several screening methods like the RapidABC (Rapid Attention Back and Forth Communication) protocol have made it difficult to generate a behavioral model that can help express micro and macro behaviors of the child at a glance. Tools like EnGaze and Plexlines can help visualize these social behaviors of the child. These visualizations use different colors to encode gaze, vocals, and gestures of the child in the form of bars and circles respectively. These visualizations can serve as a longitudinal record for multiple clinician visits and can be used to compare different types of behaviors. We have augmented the interfaces of these tools using an annotations bar for notes. We conducted interviews to understand parent-clinician communication surrounding these visualizations. We are also exploring the advantages and disadvantages of encoding behaviors using artificial intelligence techniques. Our goal is to foster parent-clinician interactions using behavioral visualizations of children who have autism.","['Data-driven research and discovery', 'Advanced data visualization tools and techniques', 'Stakeholder (i.e., patients or community) engagement']"
117,Institutional Characteristics Associated with Sharing and Accessing Electronic Health Record Data Centralized by the National COVID Cohort Collaborative (N3C) for COVID-19 Research,,"Clinical data sharing for research is crucial for timely real-world analyses. For example, the National COVID Cohort Collaborative (N3C) was established early 2020 to gather electronic health records (EHRs) across institutions for COVID-19 research. N3C is now one of the largest centralized US repositories of de-identified EHRs. Despite enormous success, some institutions do not share data. We tested institutional characteristics for associations with N3C data sharing to identify addressable barriers for future data sharing initiatives.","['Data sharing / interoperability', 'Data-driven research and discovery', 'Clinical and research data collection, curation, preservation, or sharing']"
118,Unsupervised Natural Language Processing to Identify Topics in Cancer Center Patient Portal Messages,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Patient portal messaging has surged, leading to increased workloads. We employed BERTopic, an NLP-based technique using BERT, to identify topic categories and frequencies in patient-generated messages sent to a cancer center from 2011 to 2023. Four hundred topics were detected from 2,280,851 messages, which were later condensed to 62. The most prevalent topics included expressing appreciation, messages about prescription, and scheduling discussions. NLP has efficiently identified real-world topics, suggesting potential applications for automating message routing.","['Natural Language Processing', 'Data-driven research and discovery', 'Data mining and knowledge discovery']"
119,Improving the Financial Sustainability of Telemedicine by Addressing Peritelehealth Administrative Tasks,,"The department of psychiatry has one of the highest proportions of telehealth at Penn Medicine; 73-76% of visits are conducted via telemedicine. The department, and other high telehealth users like it, experience many challenges around peri-telehealth administrative activities, such as collecting pre-visit payments. These problems have many downstream effects, including increased financial burden, and are attributed, in part, to the current telehealth platform which does not integrate with the electronic health record (EHR) system. Health system leadership decided to pilot a new/EHR integrated telehealth platform to address these challenges and wanted to determine whether such changes affected the provider and patient experience.","['Reproducible research methods and tools', 'Secondary use of EHR data', 'Implementation Science']"
120,Exploring the applicability of the pre-hospital electrocardiogram transmission system through the user-centered design,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Pre-hospital electrocardiography is crucial for medical direction during patient transport and treatment post-arrival. Nonetheless, conducting 12-lead ECG tests in an ambulance and over long distances have both technical and human challenges. for solving the problems, we made a prototype transmission system for pre-hospital electrocardiography. and We simulated the prototype system through real-world users, involving two groups: EMTs/nurses and doctors. after simulation, they assessed usability by interviews and PSSUQ. Results showed relatively satisfactory system usefulness, but information quality is not satisfied. This study holds significance for enhancing system feasibility and gathering feedback from actual users. ultimately, we can suggest more better system than before.","['Collaborative workflow systems', 'Clinical trials innovations', 'Mobile Health, wearable devices and patient-generated health data']"
121,Patient2Trial: A Knowledge Guided Large Language Model-based System for Matching Patients to Clinical Trials,Harnessing the Power of Large Language Models in Health Data Science,"The recruitment of suitable patients for clinical trials is a critical aspect in evaluating new treatments and interventions. This study proposes Patient2Trial, a system that leverages the advanced GPT-4 model and domain knowledge to efficiently match patients to appropriate clinical trials. Patient2Trial is composed of three components: candidate retrieval, eligibility identification, and trial ranking. The first step of candidate retrieval involves filtering disease-specific trials, expanding patient information using GPT-4 and expert curated knowledge guidelines, and retrieving candidates trials from the filtered collection given an expanded patient information. The second step involves using GPT-4 to identify trial eligibility as well as to generate matching scores for each inclusion criterion of a candidate trial identified as eligible. The third step involves ranking the eligible trials based on the matching scores of inclusion criteria. The system was evaluated on 80 patient-trial pairs using synthetic patient templates covering multiple diseases. The results, reviewed by three independent clinicians, showed a promising NDCG@10 score of 0.9661 and an accuracy of 80%. Furthermore, GPT-4's reasoning descriptions were found to be 85% accurate. Patient2Trial effectively addresses the limitation of 'lack of medical domain-specific knowledge' pointed out in prior work.","['Natural Language Processing', 'Clinical trials innovations', 'Informatics research/biomedical informatics research methods']"
122,"Early Alerts, Timely Actions: Evaluating the Impact of the CONCERN Early Warning System on Reducing Sepsis Risk",,"The Communicating Narrative Concerns Entered by RNs (CONCERN) is an early warning system that identifies patients at risk of clinical deterioration by leveraging nursing documentation as a proxy of nurses' shifting surveillance. In this ancillary analysis from our cluster-randomized trial, we investigate CONCERN's influence on sepsis care trajectories, focusing on the time duration between CONCERN score changes and the initiation of sepsis-related clinical interventions. Preliminary findings show CONCERN”s potential to impact sepsis care management.","['Clinical decision support for translational/data science interventions', 'Data-driven research and discovery', 'Implementation Science']"
123,VIOLIN In 2024: 15 Years of Vaccine Resource Development,,"The Vaccine Investigation and Online Information Network (VIOLIN) is a comprehensive and integrative vaccine research database and analysis platform accessible at https://violinet.org. Initial in 2008, VIOLIN now includes over 4,550 vaccines targeting 216 pathogens and eight noninfectious diseases, including cancers and allergies. VIOLIN has since hosted >20 independent programs for vaccine research. While the majority of these VIOLIN programs are databases, many ontology- and bioinformatics-based methods and tools for transcriptome analysis or natural language processing (NLP) analysis have also been developed to dissect vaccine data and discover novel scientific insights. Key components of VIOLIN include various vaccine component databases (e.g., Protegen vaccine antigen knowledgebase, Vaxjo vaccine adjuvant database), knowledgebases for specific diseases such as CanVaxKB for cancers and Cov19VaxKB for COVID-19, vaccine immune factor database (VaximmutorDB) and associated gene expression analysis tool (i.g., VIGET), and vaccine literature search (VO-SciMiner), and vaccine design tool (Vaxign2). These tools facilitate the discovery of mechanistic patterns integral to protective antigens and effective vaccine-induced immune response. The Vaccine Ontology is employed to ensure standardization and integration within VIOLIN, which also hosts other ontologies, such as the Ontology of Vaccine Adverse Events (OVAE) and Vaccine Investigation Ontology (VIO). Collectively, VIOLIN stands as a robust and holistic hub for vaccine-related information.","['Data Integration', 'Ontologies', 'Data mining and knowledge discovery']"
124,Linking EHR Prescribing Data with Pharmacy Dispensing Records: A Method to Reduce Misclassification in Pediatric Antidepressant Prescriptions,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"EHR based medication data are limited by only observing prescription information. We developed an approach to link prescription data with fills data from SureScripts. Using pediatric antidepressant prescriptions as a use case, we assessed factors associated with fill completion and impact of using prescribed vs filled data in downstream analyses. 78% of children filled their prescription with demographic and clinical differences observed. Medication definition impacted downstream inference.","['Data/system integration, standardization and interoperability', 'Outcomes research, clinical epidemiology, population health', 'Drug discovery, repurposing, and side-effect discovery']"
125,Assessing the Impact of Activity Levels on Weight Change in Individuals with Obesity: Addressing Analytic Challenges in User Tracking Data,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","In a study of 368 individuals with obesity, we integrated Fitbit data with electronic health records (EHR) to analyze weight change in relation to activity levels. Challenges arose in defining data completeness for Fitbit users. Results revealed a positive correlation between activity intensity and weight loss, that was relatively robust to completeness definitions. The study emphasized both the potential and challenges of utilizing the tracking data to monitor weight change.","['Data Integration', 'EHR-based phenotyping', 'Mobile Health, wearable devices and patient-generated health data']"
126,Prevalence of Racial Disparity in the Performance of Prediction Models for Teenage Hospitalization,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,Racial biases associated with AI algorithms threaten to perpetuate the cycle of health disparity. A knowledge gap in AI fairness research in medicine comes from the lack of assessment of the prevalence of racial biases in health risk prediction models. This study trained models to predict teenage hospitalization using different sampling and learning algorithms. Our analyses found racial disparities in model performance to be common but not statistically significant.,"['Machine learning and predictive modeling', 'Ethical, legal, and social issues', 'Outcomes research, clinical epidemiology, population health']"
127,Conditions for Enhanced Rare Event Prediction with Multi-Label Learning,,"The application of deep learning models for rare disease prediction faces formidable challenges due to data scarcity and class imbalances. This study explores the potential of multi-label learning as a strategy to improve rare event predictions. Using synthetic datasets, we experimentally investigate the usage conditions for multi-label learning efficacy, revealing promising but nonlinear performance improvement with higher event relevance and secondary event rates. The findings lay groundwork for more targeted applications of multi-label learning for rare diseases.","['Reproducible research methods and tools', 'Data commons', 'Machine learning and predictive modeling']"
128,Trustworthy Artificial Intelligence in Patient-Centered Outcomes Research,,The Department of Health and Human Services Office of the Assistant Secretary for Planning and Evaluation aims to promote Trustworthy Artificial Intelligence in its portfolio of intradepartmental projects that build data capacity for patient-centered outcomes research (PCOR). An environmental scan and key informant semi-structured discussions with experts in AI were conducted to gather information on the implementation of Trustworthy AI principles in the context of PCOR and other healthcare research.,"['Patient centered research and care', 'Ethical, legal, and social issues', 'Outcomes research, clinical epidemiology, population health']"
129,Detecting Favorable Effect of Combination Therapies on cardiotoxicity,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Drug-induced cardiotoxicity represents a significant risk to patients, particularly when it results in lasting harm to the heart muscle. To mitigate risks and enhance treatment outcomes, combination therapies have gained attraction, offering the promise of increased efficacy, and reduced toxicity, with the underlying rationale of reducing required drug concentrations of individual drugs and poly-pharmacological effects. In this study, we proposed a systematic workflow aimed at detecting the favorable effect of combination therapies on cardiotoxicity, leveraging the data from the Food and Drug Administration Adverse Event Reporting System (FAERS), a valuable resource that compiles real-world, spontaneous reports of adverse drug events. We first identified 751 drugs with signals of cardiotoxicity from the AERS-DM based on the rationale of contrasting all the system organ class (SOC) level AEs of any drug in the AERS-DM. We then compared cardiotoxicity signals of drugs of interest between the scenarios of single drug uses and drug combinations. Results showed that out of the 751 drugs, 144 of them exhibited no signals of cardiotoxicity when used together in 1,153 different drug-drug combinations. Ad hoc validation was done for doxorubicin. The drug-drug pairs potentially mitigating cardiotoxicity can be freely accessible at https://github.com/OHNLP/Cardiotoxicity. In the future, we will prepare a knowledge-enhanced dataset for all available FAERS data and further validate the potential favorable effects of drug-drug pairs systematically.","['Public health informatics', 'Drug discovery, repurposing, and side-effect discovery', 'Outcomes research, clinical epidemiology, population health']"
